30-Jul-2014 17:23:55
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140730-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch01
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.47  14.37  14.47  16.82  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
27	0.21	0.00	0.15	0.00	0.64	3.46	0.29	2.65	0.29	9.23
28	0.21	0.00	0.35	0.00	0.43	3.46	0.29	5.91	0.29	6.36
29	0.21	0.00	0.77	0.00	0.01	3.46	 0.29	12.57	 0.29	 0.49
30	0.21	0.00	0.00	0.74	0.05	3.46	 0.29	 0.29	10.66	 0.94
31	0.37	0.00	0.00	0.00	0.63	5.86	0.29	0.29	0.29	9.07
32	0.37	0.00	0.05	0.00	0.58	5.86	0.29	1.06	0.29	8.39
33	0.37	0.00	0.15	0.00	0.48	5.86	0.29	2.65	0.29	6.99
34	0.37	0.00	0.35	0.00	0.27	5.86	0.29	5.91	0.29	4.12
35	0.62	0.00	0.00	0.00	0.38	9.57	0.29	0.29	0.29	5.60
36	0.62	0.00	0.05	0.00	0.33	9.57	0.29	1.06	0.29	4.92
37	0.62	0.00	0.15	0.00	0.23	9.57	0.29	2.65	0.29	3.52
38	0.62	0.00	0.35	0.00	0.03	9.57	0.29	5.91	0.29	0.65
39	0.00	0.04	0.00	0.00	0.96	0.29	 0.86	 0.29	 0.29	13.74
40	0.00	0.04	0.11	0.00	0.85	0.29	 0.86	 1.99	 0.29	12.24
41	0.00	0.04	0.33	0.00	0.63	0.29	0.86	5.47	0.29	9.17
42	0.00	0.04	0.78	0.00	0.19	0.29	 0.86	12.61	 0.29	 2.88
43	0.00	0.04	0.00	0.74	0.22	0.29	 0.86	 0.29	10.66	 3.37
44	0.00	0.04	0.11	0.74	0.11	0.29	 0.86	 1.99	10.66	 1.87
45	0.04	0.04	0.00	0.00	0.92	0.93	 0.86	 0.29	 0.29	13.14
46	0.04	0.04	0.11	0.00	0.81	0.93	 0.86	 1.99	 0.29	11.64
47	0.04	0.04	0.33	0.00	0.59	0.93	0.86	5.47	0.29	8.57
48	0.04	0.04	0.78	0.00	0.14	0.93	 0.86	12.61	 0.29	 2.28
49	0.04	0.04	0.00	0.74	0.18	0.93	 0.86	 0.29	10.66	 2.77
50	0.04	0.04	0.11	0.74	0.07	0.93	 0.86	 1.99	10.66	 1.27
51	0.11	0.04	0.00	0.00	0.85	1.92	 0.86	 0.29	 0.29	12.21
52	0.11	0.04	0.11	0.00	0.74	1.92	 0.86	 1.99	 0.29	10.71
53	0.11	0.04	0.33	0.00	0.53	1.92	0.86	5.47	0.29	7.64
54	0.11	0.04	0.78	0.00	0.08	1.92	 0.86	12.61	 0.29	 1.35
55	0.11	0.04	0.00	0.74	0.11	1.92	 0.86	 0.29	10.66	 1.84
56	0.11	0.04	0.11	0.74	0.00	1.92	 0.86	 1.99	10.66	 0.34
57	0.21	0.04	0.00	0.00	0.75	3.46	 0.86	 0.29	 0.29	10.76
58	0.21	0.04	0.11	0.00	0.64	3.46	0.86	1.99	0.29	9.27
59	0.21	0.04	0.33	0.00	0.42	3.46	0.86	5.47	0.29	6.20
60	0.21	0.04	0.00	0.74	0.01	3.46	 0.86	 0.29	10.66	 0.39
61	0.37	0.04	0.00	0.00	0.59	5.86	0.86	0.29	0.29	8.53
62	0.37	0.04	0.11	0.00	0.48	5.86	0.86	1.99	0.29	7.03
63	0.37	0.04	0.33	0.00	0.26	5.86	0.86	5.47	0.29	3.96
64	0.62	0.04	0.00	0.00	0.34	9.57	0.86	0.29	0.29	5.05
65	0.62	0.04	0.11	0.00	0.23	9.57	0.86	1.99	0.29	3.55
66	0.62	0.04	0.33	0.00	0.01	9.57	0.86	5.47	0.29	0.49
67	0.00	0.11	0.00	0.00	0.89	0.29	 1.85	 0.29	 0.29	12.80
68	0.00	0.11	0.21	0.00	0.69	0.29	1.85	3.58	0.29	9.90
69	0.00	0.11	0.63	0.00	0.26	0.29	 1.85	10.32	 0.29	 3.96
70	0.00	0.11	0.00	0.74	0.15	0.29	 1.85	 0.29	10.66	 2.43
71	0.04	0.11	0.00	0.00	0.85	0.93	 1.85	 0.29	 0.29	12.20
72	0.04	0.11	0.21	0.00	0.64	0.93	1.85	3.58	0.29	9.30
73	0.04	0.11	0.63	0.00	0.22	0.93	 1.85	10.32	 0.29	 3.36
74	0.04	0.11	0.00	0.74	0.11	0.93	 1.85	 0.29	10.66	 1.83
75	0.11	0.11	0.00	0.00	0.78	1.92	 1.85	 0.29	 0.29	11.27
76	0.11	0.11	0.21	0.00	0.58	1.92	1.85	3.58	0.29	8.37
