23-Nov-2014 12:53:30
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20141123-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.25.14-ch03
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [15.92  16.90  15.05  16.29  14.00   0.63]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 8.50 psi
Push Water: ch = 2, press = 7.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
229	0.22	0.15	0.13	0.00	0.50	4.17	3.12	2.55	0.63	7.69
230	0.00	0.24	0.00	0.20	0.56	0.63	4.64	0.63	3.89	8.51
231	0.53	0.00	0.26	0.20	0.00	9.14	0.63	4.62	3.89	0.64
232	0.12	0.08	0.25	0.20	0.35	2.62	2.01	4.33	3.89	5.51
233	0.12	0.00	0.00	0.00	0.88	2.62	 0.63	 0.63	 0.63	12.89
234	0.00	0.15	0.00	0.79	0.06	0.63	 3.12	 0.63	13.56	 1.46
235	0.53	0.08	0.00	0.20	0.18	9.14	2.01	0.63	3.89	3.21
236	0.35	0.03	0.36	0.20	0.05	6.28	1.21	6.11	3.89	1.30
237	0.12	0.03	0.18	0.00	0.66	2.62	1.21	3.32	0.63	9.91
238	0.05	0.03	0.07	0.00	0.85	1.48	 1.21	 1.65	 0.63	12.47
239	0.53	0.08	0.00	0.00	0.38	9.14	2.01	0.63	0.63	6.01
240	0.05	0.00	0.26	0.00	0.68	1.48	 0.63	 4.62	 0.63	10.19
241	0.05	0.00	0.00	0.00	0.95	1.48	 0.63	 0.63	 0.63	13.89
242	0.35	0.08	0.25	0.20	0.12	6.28	2.01	4.33	3.89	2.29
243	0.05	0.03	0.18	0.00	0.73	1.48	 1.21	 3.32	 0.63	10.91
244	0.00	0.00	0.13	0.20	0.67	0.63	 0.63	 2.59	 3.89	10.01
245	0.35	0.03	0.18	0.20	0.23	6.28	1.21	3.32	3.89	3.89
246	0.00	0.03	0.36	0.00	0.60	0.63	1.21	6.11	0.63	9.06
247	0.12	0.00	0.13	0.20	0.55	2.62	0.63	2.59	3.89	8.27
248	0.00	0.77	0.00	0.20	0.03	0.63	13.68	 0.63	 3.89	 1.03
249	0.22	0.08	0.25	0.20	0.25	4.17	2.01	4.33	3.89	4.14
250	0.53	0.08	0.25	0.00	0.14	9.14	2.01	4.33	0.63	2.57
251	0.53	0.00	0.13	0.20	0.14	9.14	0.63	2.59	3.89	2.53
252	0.22	0.00	0.26	0.20	0.31	4.17	0.63	4.62	3.89	5.02
253	0.05	0.15	0.34	0.20	0.26	1.48	3.12	5.72	3.89	4.30
254	0.12	0.00	0.00	0.20	0.68	2.62	 0.63	 0.63	 3.89	10.09
255	0.00	0.15	0.69	0.00	0.16	0.63	 3.12	10.99	 0.63	 2.94
256	0.00	0.08	0.00	0.79	0.12	0.63	 2.01	 0.63	13.56	 2.38
257	0.22	0.24	0.47	0.00	0.07	4.17	4.64	7.65	0.63	1.68
258	0.05	0.08	0.25	0.20	0.42	1.48	2.01	4.33	3.89	6.51
259	0.00	0.15	0.13	0.00	0.73	0.63	 3.12	 2.55	 0.63	10.80
260	0.35	0.15	0.00	0.00	0.50	6.28	3.12	0.63	0.63	7.61
